0,BusDepot
1,Chapel
2,East
3,GA
4,Hospital
5,LSRC
6,Physics
7,Ruby
8,Sanford
9,Smith
10,Trent
11,Wanny
***
Station,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
***
1,0,0,20,20,20,20,20,20,20,20,20,20
2,0,20,0,20,20,20,20,20,20,20,20,20
3,0,20,20,0,20,20,20,20,20,20,20,20
4,0,20,20,20,0,20,20,20,20,20,20,20
5,0,20,20,20,20,0,20,20,20,20,20,20
6,0,20,20,20,20,20,0,20,20,20,20,20
7,0,20,20,20,20,20,20,0,20,20,20,20
8,0,20,20,20,20,20,20,20,0,20,20,20
9,0,20,20,20,20,20,20,20,20,0,20,20
10,0,20,20,20,20,20,20,20,20,20,0,20
11,0,20,20,20,20,20,20,20,20,20,20,0